split	value
Sp017	100
Sp003	100
Sp019	100
Sp014	100
Sp011	100
Sp018	100
Sp006	100
Sp005	100
Sp004	100
Sp016	100
Sp015	100
Sp002	100
Sp013	100
Sp012	100
Sp010	100
Sp009	100
Sp008	100
Sp007	100
Sp001	100
Sp000	100
Sp003Sp017	1.0
Sp011Sp014	0.9
Sp004Sp005	0.96
Sp004Sp005Sp006	1.0
Sp015Sp016	1.0
Sp002Sp015Sp016	1.0
Sp002Sp004Sp005Sp006Sp015Sp016	0.99
Sp002Sp004Sp005Sp006Sp015Sp016Sp018	0.85
Sp002Sp004Sp005Sp006Sp011Sp014Sp015Sp016Sp018	0.82
Sp012Sp013	1.0
Sp009Sp010	0.965
Sp007Sp008	0.83
Sp007Sp008Sp009Sp010	1.0
Sp000Sp001	1.0
Sp000Sp001Sp007Sp008Sp009Sp010	0.95
Sp000Sp001Sp007Sp008Sp009Sp010Sp012Sp013	0.86
Sp003Sp017Sp019	0.985
Sp007Sp009Sp010	0.15
Sp002Sp004Sp005Sp006Sp014Sp015Sp016	0.1
Sp002Sp004Sp005Sp006Sp011Sp014Sp015Sp016	0.14
Sp003Sp011Sp012Sp013Sp014Sp017Sp019	0.035
Sp003Sp011Sp014Sp017Sp019	0.11
Sp002Sp004Sp005Sp006Sp012Sp013Sp015Sp016Sp018	0.045
Sp002Sp004Sp005Sp006Sp014Sp015Sp016Sp018	0.01
Sp000Sp001Sp003Sp007Sp008Sp009Sp010Sp011Sp017Sp019	0.005
Sp003Sp011Sp017Sp019	0.005
Sp000Sp001Sp003Sp007Sp008Sp009Sp010Sp012Sp013Sp017	0.01
Sp007Sp008Sp009Sp010Sp012Sp013	0.045
Sp004Sp006	0.04
Sp000Sp001Sp007Sp008Sp009Sp010Sp012Sp013Sp018	0.05
Sp003Sp012Sp013Sp017Sp019	0.02
Sp000Sp001Sp012Sp013	0.005
Sp000Sp001Sp007Sp008Sp009Sp010Sp018	0.015
Sp007Sp009	0.03
Sp002Sp003Sp004Sp005Sp006Sp011Sp014Sp015Sp016Sp017	0.005
Sp000Sp001Sp003Sp007Sp008Sp009Sp010Sp017Sp019	0.03
Sp004Sp005Sp006Sp018	0.01
Sp012Sp013Sp018	0.005
Sp007Sp008Sp010	0.005
Sp008Sp010	0.02
