split	value
Sp015	100
Sp014	100
Sp013	100
Sp012	100
Sp019	100
Sp018	100
Sp017	100
Sp016	100
Sp000	100
Sp001	100
Sp004	100
Sp003	100
Sp002	100
Sp005	100
Sp008	100
Sp006	100
Sp007	100
Sp009	100
Sp010	100
Sp011	100
Sp014Sp015	0.975
Sp012Sp013	1.0
Sp012Sp013Sp014Sp015	0.765
Sp018Sp019	1.0
Sp016Sp017	1.0
Sp000Sp001	1.0
Sp000Sp001Sp016Sp017	0.61
Sp000Sp001Sp016Sp017Sp018Sp019	0.805
Sp002Sp003	0.29
Sp002Sp003Sp004	1.0
Sp000Sp001Sp002Sp003Sp004Sp016Sp017Sp018Sp019	0.555
Sp005Sp006Sp007Sp008Sp009Sp010Sp011	0.35
Sp006Sp007Sp008Sp009Sp010Sp011	1.0
Sp006Sp008	0.74
Sp007Sp009Sp010Sp011	0.875
Sp009Sp010Sp011	0.86
Sp010Sp011	0.95
Sp002Sp004	0.675
Sp000Sp001Sp018Sp019	0.115
Sp005Sp012Sp013Sp014Sp015	0.335
Sp016Sp017Sp018Sp019	0.235
Sp002Sp003Sp004Sp016Sp017Sp018Sp019	0.015
Sp012Sp013Sp015	0.02
Sp006Sp008Sp009Sp010Sp011	0.12
Sp008Sp009Sp010Sp011	0.03
Sp002Sp003Sp004Sp012Sp013	0.225
Sp002Sp003Sp004Sp012Sp013Sp014Sp015	0.35
Sp002Sp003Sp004Sp005Sp012Sp013Sp014Sp015	0.23
Sp005Sp006Sp007Sp008Sp009Sp010Sp011Sp014Sp015	0.03
Sp007Sp009	0.13
Sp006Sp007Sp009Sp010Sp011	0.17
Sp012Sp013Sp014	0.005
Sp006Sp009Sp010Sp011	0.05
Sp009Sp010	0.035
Sp002Sp003Sp004Sp018Sp019	0.06
Sp002Sp003Sp004Sp016Sp017	0.05
Sp000Sp001Sp002Sp003Sp004Sp016Sp017	0.055
Sp006Sp007Sp008Sp009Sp010Sp011Sp012Sp013Sp014Sp015	0.025
Sp002Sp003Sp004Sp012Sp013Sp014Sp015Sp016Sp017	0.02
Sp005Sp006Sp007Sp008Sp009Sp010Sp011Sp018Sp019	0.04
Sp006Sp007Sp008Sp009Sp010Sp011Sp018Sp019	0.04
Sp003Sp004	0.035
Sp000Sp001Sp005Sp016Sp017Sp018Sp019	0.015
Sp005Sp014Sp015	0.04
Sp000Sp001Sp002Sp003Sp004	0.01
Sp000Sp001Sp006Sp007Sp008Sp009Sp010Sp011Sp018Sp019	0.02
Sp007Sp008Sp009Sp010Sp011	0.005
Sp007Sp009Sp010	0.005
Sp005Sp018Sp019	0.005
Sp006Sp007Sp008Sp009Sp011	0.005
Sp006Sp007	0.005
Sp006Sp007Sp008	0.005
Sp006Sp007Sp008Sp009	0.005
Sp006Sp010Sp011	0.005
Sp006Sp011	0.005
