split	value
Sp014	100
Sp002	100
Sp001	100
Sp013	100
Sp005	100
Sp012	100
Sp010	100
Sp009	100
Sp008	100
Sp007	100
Sp006	100
Sp004	100
Sp003	100
Sp011	100
Sp000	100
Sp002Sp014	1.0
Sp001Sp002Sp014	1.0
Sp008Sp009	0.685
Sp007Sp008Sp009	0.255
Sp006Sp007Sp008Sp009	0.385
Sp006Sp007Sp008Sp009Sp010	1.0
Sp004Sp006Sp007Sp008Sp009Sp010	0.465
Sp004Sp006Sp007Sp008Sp009Sp010Sp012	0.69
Sp000Sp011	0.81
Sp000Sp003Sp011	0.985
Sp001Sp002Sp005Sp013Sp014	0.43
Sp001Sp002Sp013Sp014	0.755
Sp006Sp008Sp009	0.43
Sp005Sp006Sp007Sp008Sp009Sp010	0.125
Sp005Sp006Sp007Sp008Sp009Sp010Sp012	0.12
Sp000Sp001Sp002Sp003Sp011Sp013Sp014	0.36
Sp009Sp010	0.315
Sp008Sp009Sp010	0.315
Sp006Sp008Sp009Sp010	0.49
Sp006Sp007Sp008Sp009Sp010Sp012	0.335
Sp007Sp008Sp009Sp010	0.125
Sp001Sp002Sp005Sp014	0.135
Sp003Sp011	0.03
Sp000Sp003Sp005Sp011	0.02
Sp000Sp003	0.15
Sp001Sp002Sp004Sp005Sp013Sp014	0.055
Sp000Sp003Sp011Sp013	0.04
Sp004Sp012	0.085
Sp001Sp002Sp004Sp013Sp014	0.09
Sp005Sp012	0.035
Sp001Sp002Sp004Sp005Sp014	0.015
Sp001Sp002Sp004Sp014	0.04
Sp001Sp002Sp004Sp012Sp013Sp014	0.03
Sp000Sp003Sp005Sp011Sp012	0.01
Sp000Sp001Sp002Sp003Sp011Sp014	0.025
Sp000Sp006Sp007Sp008Sp009Sp010	0.01
Sp000Sp003Sp006Sp007Sp008Sp009Sp010	0.005
Sp001Sp002Sp004Sp005Sp012Sp013Sp014	0.03
Sp000Sp001Sp002Sp003Sp005Sp011Sp014	0.015
Sp001Sp002Sp004Sp012Sp014	0.005
Sp000Sp006Sp007Sp008Sp009Sp010Sp011	0.005
Sp001Sp002Sp003Sp005Sp012Sp013Sp014	0.005
Sp001Sp002Sp003Sp005Sp013Sp014	0.005
Sp001Sp002Sp003Sp013Sp014	0.005
Sp001Sp002Sp003Sp014	0.005
Sp000Sp003Sp011Sp012	0.01
Sp001Sp002Sp005Sp012Sp013Sp014	0.015
Sp001Sp002Sp005Sp012Sp014	0.005
Sp001Sp002Sp012Sp013Sp014	0.015
Sp006Sp007Sp008Sp009Sp010Sp013	0.005
Sp006Sp007Sp008Sp009Sp010Sp012Sp013	0.005
Sp004Sp005Sp006Sp007Sp008Sp009Sp010	0.01
Sp003Sp006Sp007Sp008Sp009Sp010	0.005
Sp001Sp002Sp012Sp014	0.005
