split	value
Sp000	100
Sp001	100
Sp018	100
Sp017	100
Sp016	100
Sp019	100
Sp015	100
Sp004	100
Sp014	100
Sp010	100
Sp002	100
Sp013	100
Sp012	100
Sp011	100
Sp003	100
Sp005	100
Sp006	100
Sp007	100
Sp008	100
Sp009	100
Sp000Sp001	0.6
Sp016Sp017	1.0
Sp015Sp019	1.0
Sp004Sp015Sp019	0.705
Sp002Sp010	0.695
Sp002Sp010Sp014	0.345
Sp002Sp004Sp010Sp014Sp015Sp019	0.935
Sp002Sp004Sp010Sp014Sp015Sp016Sp017Sp019	0.995
Sp002Sp004Sp010Sp014Sp015Sp016Sp017Sp018Sp019	0.215
Sp003Sp005Sp006Sp007Sp008Sp009Sp011Sp012Sp013	0.31
Sp011Sp012	0.91
Sp003Sp011Sp012	0.805
Sp003Sp011Sp012Sp013	0.985
Sp005Sp006Sp007Sp008Sp009	1.0
Sp006Sp007Sp008Sp009	1.0
Sp007Sp008Sp009	0.695
Sp008Sp009	0.99
Sp000Sp018	0.28
Sp000Sp001Sp018	0.1
Sp004Sp014Sp015Sp019	0.355
Sp003Sp013	0.19
Sp003Sp005Sp006Sp007Sp008Sp009Sp011Sp012Sp013Sp018	0.105
Sp005Sp006Sp007Sp008Sp009Sp018	0.335
Sp000Sp001Sp003Sp011Sp012Sp013	0.2
Sp002Sp015Sp019	0.295
Sp002Sp004Sp015Sp019	0.165
Sp002Sp004Sp014Sp015Sp019	0.185
Sp001Sp003Sp011Sp012Sp013	0.1
Sp000Sp005Sp006Sp007Sp008Sp009Sp018	0.055
Sp010Sp014	0.12
Sp000Sp001Sp005Sp006Sp007Sp008Sp009	0.125
Sp000Sp001Sp005Sp006Sp007Sp008Sp009Sp018	0.28
Sp006Sp007	0.305
Sp003Sp011	0.09
Sp001Sp003Sp005Sp006Sp007Sp008Sp009Sp011Sp012Sp013	0.17
Sp004Sp014	0.095
Sp002Sp010Sp014Sp016Sp017	0.04
Sp006Sp007Sp008	0.01
Sp002Sp010Sp014Sp015Sp019	0.03
Sp001Sp005Sp006Sp007Sp008Sp009	0.05
Sp000Sp002Sp004Sp010Sp014Sp015Sp016Sp017Sp019	0.025
Sp001Sp018	0.01
Sp000Sp001Sp005Sp006Sp007Sp008Sp009Sp016Sp017Sp018	0.005
Sp002Sp010Sp014Sp015Sp016Sp017Sp019	0.005
Sp000Sp005Sp006Sp007Sp008Sp009	0.02
Sp000Sp001Sp005Sp006Sp007Sp008Sp009Sp013Sp018	0.015
Sp010Sp016Sp017	0.01
Sp002Sp014Sp015Sp019	0.01
Sp010Sp014Sp016Sp017	0.01
Sp001Sp005Sp006Sp007Sp008Sp009Sp018	0.005
Sp000Sp001Sp003Sp005Sp006Sp007Sp008Sp009Sp013Sp018	0.005
Sp000Sp001Sp003Sp011Sp012Sp013Sp018	0.01
Sp000Sp003Sp011Sp012Sp013	0.005
