split	value
Sp013	100
Sp012	100
Sp006	100
Sp005	100
Sp004	100
Sp008	100
Sp007	100
Sp000	100
Sp003	100
Sp002	100
Sp001	100
Sp009	100
Sp010	100
Sp011	100
Sp014	100
Sp004Sp005	0.99
Sp004Sp005Sp006	0.995
Sp000Sp007	0.88
Sp000Sp007Sp008	1.0
Sp000Sp004Sp005Sp006Sp007Sp008	0.72
Sp002Sp003	0.245
Sp001Sp002Sp003	1.0
Sp009Sp010Sp011Sp012Sp013Sp014	1.0
Sp010Sp011Sp012Sp013Sp014	0.915
Sp011Sp012Sp013Sp014	0.8
Sp011Sp013Sp014	0.38
Sp011Sp014	0.37
Sp001Sp002	0.755
Sp000Sp001Sp002Sp003Sp007Sp008	0.28
Sp010Sp012Sp013Sp014	0.135
Sp012Sp013Sp014	0.475
Sp013Sp014	0.54
Sp011Sp012Sp014	0.03
Sp011Sp012	0.03
Sp009Sp011Sp012Sp013Sp014	0.025
Sp009Sp012Sp013Sp014	0.045
Sp009Sp013Sp014	0.045
Sp009Sp014	0.045
Sp007Sp008	0.12
Sp004Sp006	0.01
Sp010Sp012	0.055
Sp009Sp011	0.01
Sp009Sp010	0.03
Sp009Sp010Sp011Sp012Sp014	0.005
Sp009Sp010Sp011	0.01
Sp009Sp010Sp011Sp012	0.005
Sp009Sp010Sp012Sp013Sp014	0.025
Sp009Sp010Sp013	0.005
Sp009Sp010Sp011Sp013Sp014	0.005
Sp009Sp010Sp011Sp014	0.005
Sp009Sp010Sp013Sp014	0.005
Sp009Sp010Sp014	0.005
Sp000Sp004Sp005Sp007Sp008	0.005
