split	value
Sp016	100
Sp019	100
Sp014	100
Sp012	100
Sp000	100
Sp005	100
Sp006	100
Sp004	100
Sp003	100
Sp002	100
Sp001	100
Sp017	100
Sp015	100
Sp009	100
Sp011	100
Sp013	100
Sp010	100
Sp008	100
Sp007	100
Sp018	100
Sp012Sp014	0.845
Sp012Sp014Sp019	1.0
Sp004Sp006	0.675
Sp004Sp005Sp006	1.0
Sp002Sp003	0.91
Sp001Sp002Sp003	1.0
Sp001Sp002Sp003Sp004Sp005Sp006	1.0
Sp000Sp001Sp002Sp003Sp004Sp005Sp006	1.0
Sp007Sp008Sp009Sp010Sp011Sp013Sp015Sp016Sp017Sp018	0.995
Sp007Sp008Sp009Sp010Sp011Sp013Sp015Sp017Sp018	0.11
Sp015Sp017	0.985
Sp009Sp015Sp017	0.34
Sp010Sp013	0.995
Sp007Sp008	0.98
Sp007Sp008Sp010Sp013	0.94
Sp007Sp008Sp010Sp011Sp013	1.0
Sp007Sp008Sp009Sp010Sp011Sp013Sp015Sp017	0.135
Sp007Sp008Sp010Sp011Sp013Sp015Sp017	0.045
Sp005Sp006	0.325
Sp009Sp015Sp016Sp017Sp018	0.445
Sp009Sp015Sp016Sp017	0.655
Sp015Sp016Sp017	0.585
Sp014Sp019	0.155
Sp001Sp003	0.025
Sp007Sp008Sp010Sp011Sp013Sp018	0.205
Sp015Sp016Sp017Sp018	0.15
Sp001Sp002	0.065
Sp007Sp008Sp010Sp011Sp013Sp015Sp016Sp017Sp018	0.155
Sp016Sp018	0.065
Sp007Sp008Sp009Sp010Sp011Sp013Sp015Sp016Sp017	0.1
Sp015Sp016	0.01
Sp010Sp011Sp013	0.04
Sp008Sp010Sp013	0.015
Sp007Sp010Sp013	0.005
Sp007Sp013	0.005
Sp016Sp017	0.005
Sp007Sp008Sp011	0.02
Sp009Sp016	0.005
Sp007Sp008Sp010Sp011Sp013Sp015Sp017Sp018	0.005
Sp009Sp012Sp014Sp019	0.005
