split	value
Sp004	100
Sp000	100
Sp008	100
Sp003	100
Sp001	100
Sp012	100
Sp019	100
Sp017	100
Sp016	100
Sp015	100
Sp013	100
Sp007	100
Sp006	100
Sp005	100
Sp009	100
Sp002	100
Sp018	100
Sp014	100
Sp011	100
Sp010	100
Sp000Sp004	0.9
Sp003Sp008	0.545
Sp001Sp003Sp008	0.985
Sp000Sp001Sp003Sp004Sp008	0.42
Sp013Sp015	1.0
Sp013Sp015Sp016	0.995
Sp013Sp015Sp016Sp017	1.0
Sp013Sp015Sp016Sp017Sp019	1.0
Sp005Sp006	1.0
Sp005Sp006Sp007	1.0
Sp005Sp006Sp007Sp013Sp015Sp016Sp017Sp019	1.0
Sp005Sp006Sp007Sp012Sp013Sp015Sp016Sp017Sp019	1.0
Sp002Sp009	0.295
Sp000Sp001Sp003Sp004Sp008Sp010Sp011Sp014Sp018	0.665
Sp014Sp018	0.97
Sp011Sp014Sp018	0.325
Sp010Sp011Sp014Sp018	0.91
Sp000Sp001Sp002Sp003Sp004Sp008Sp010Sp011Sp014Sp018	0.705
Sp001Sp008	0.425
Sp000Sp004Sp010Sp011Sp014Sp018	0.08
Sp010Sp011	0.45
Sp000Sp002Sp004	0.14
Sp010Sp014Sp018	0.205
Sp000Sp001Sp002Sp003Sp004Sp008	0.305
Sp001Sp003Sp008Sp010Sp011Sp014Sp018	0.275
Sp011Sp018	0.01
Sp000Sp002	0.095
Sp001Sp003Sp004Sp008	0.04
Sp010Sp014	0.005
Sp001Sp003Sp004Sp008Sp010Sp011Sp014Sp018	0.005
Sp001Sp004	0.005
Sp000Sp001Sp004	0.015
Sp011Sp014	0.005
Sp010Sp018	0.005
Sp000Sp001Sp002Sp003Sp004Sp008Sp011Sp014Sp018	0.09
Sp000Sp001Sp002Sp003Sp008	0.015
Sp001Sp002Sp003Sp008	0.035
Sp001Sp003	0.03
Sp000Sp001Sp002Sp003Sp004Sp008Sp014Sp018	0.015
Sp000Sp001Sp002Sp003Sp004Sp008Sp009	0.005
Sp010Sp011Sp018	0.01
Sp001Sp002Sp003Sp008Sp009Sp010Sp011Sp014Sp018	0.01
Sp016Sp017	0.005
Sp002Sp009Sp010Sp011Sp014Sp018	0.005
