split	value
Sp010	100
Sp018	100
Sp017	100
Sp015	100
Sp012	100
Sp008	100
Sp007	100
Sp019	100
Sp005	100
Sp009	100
Sp004	100
Sp002	100
Sp013	100
Sp001	100
Sp016	100
Sp003	100
Sp006	100
Sp011	100
Sp014	100
Sp000	100
Sp017Sp018	0.785
Sp012Sp015	0.125
Sp008Sp012Sp015	0.005
Sp005Sp019	0.475
Sp004Sp009	0.4
Sp004Sp005Sp009Sp019	0.23
Sp002Sp004Sp005Sp009Sp019	0.13
Sp001Sp013	0.415
Sp001Sp002Sp004Sp005Sp009Sp013Sp019	0.035
Sp001Sp002Sp004Sp005Sp007Sp009Sp013Sp019	0.205
Sp000Sp003Sp006Sp010Sp011Sp014Sp016Sp017Sp018	0.11
Sp000Sp003Sp006Sp010Sp011Sp014Sp016	0.16
Sp000Sp003Sp006Sp011Sp014Sp016	0.155
Sp003Sp016	0.21
Sp000Sp014	0.37
Sp000Sp011Sp014	0.765
Sp000Sp006Sp011Sp014	0.195
Sp007Sp010	0.01
Sp009Sp016	0.11
Sp008Sp009Sp016	0.255
Sp004Sp015	0.02
Sp002Sp004Sp015	0.005
Sp001Sp005Sp013Sp019	0.03
Sp001Sp002Sp004Sp005Sp013Sp015Sp019	0.005
Sp000Sp003Sp006Sp007Sp010Sp011Sp012Sp014Sp017Sp018	0.01
Sp000Sp003Sp006Sp007Sp010Sp011Sp014Sp017Sp018	0.005
Sp000Sp003Sp006Sp007Sp010Sp011Sp014	0.01
Sp000Sp003Sp006Sp011Sp014	0.535
Sp000Sp003Sp011Sp014	0.42
Sp007Sp015	0.015
Sp004Sp008Sp009	0.01
Sp004Sp005Sp008Sp009Sp019	0.03
Sp002Sp013	0.055
Sp002Sp004Sp005Sp008Sp009Sp013Sp019	0.01
Sp002Sp004Sp005Sp007Sp008Sp009Sp013Sp015Sp019	0.045
Sp000Sp001Sp003Sp006Sp010Sp011Sp014Sp016Sp017Sp018	0.02
Sp011Sp014	0.405
Sp000Sp003Sp011Sp014Sp016	0.075
Sp008Sp016	0.265
Sp004Sp009Sp015	0.035
Sp004Sp005Sp009Sp015Sp019	0.04
Sp004Sp005Sp007Sp009Sp015Sp019	0.035
Sp002Sp004Sp005Sp007Sp009Sp015Sp019	0.065
Sp001Sp002Sp004Sp005Sp007Sp009Sp013Sp015Sp019	0.365
Sp000Sp003Sp006Sp008Sp010Sp011Sp014Sp016Sp017Sp018	0.125
Sp000Sp003Sp006Sp010Sp011Sp014Sp017Sp018	0.215
Sp000Sp003Sp006Sp010Sp011Sp014	0.52
Sp004Sp007	0.365
Sp002Sp004Sp007	0.08
Sp002Sp004Sp005Sp007Sp019	0.12
Sp001Sp002Sp004Sp005Sp007Sp013Sp019	0.115
Sp001Sp002Sp004Sp005Sp007Sp012Sp013Sp019	0.015
Sp001Sp002Sp004Sp005Sp007Sp012Sp013Sp015Sp019	0.065
Sp000Sp003Sp006Sp008Sp009Sp010Sp011Sp014Sp016	0.095
Sp000Sp003Sp006Sp008Sp009Sp011Sp014Sp016	0.095
Sp008Sp009	0.255
