split	value
Sp015	0.505
Sp009	100
Sp019	100
Sp004	100
Sp003	100
Sp016	100
Sp006	100
Sp010	100
Sp007	100
Sp014	100
Sp013	100
Sp008	100
Sp005	100
Sp002	100
Sp001	100
Sp018	100
Sp017	100
Sp012	100
Sp011	100
Sp000	100
Sp007Sp010	0.735
Sp013Sp014	1.0
Sp008Sp013Sp014	0.24
Sp005Sp008Sp013Sp014	0.205
Sp005Sp007Sp008Sp010Sp013Sp014	0.97
Sp005Sp006Sp007Sp008Sp010Sp013Sp014	0.11
Sp005Sp006Sp007Sp008Sp010Sp013Sp014Sp016	0.225
Sp002Sp005Sp006Sp007Sp008Sp010Sp013Sp014Sp016	0.025
Sp017Sp018	1.0
Sp011Sp012	0.995
Sp011Sp012Sp017Sp018	0.405
Sp000Sp011Sp012Sp017Sp018	0.165
Sp000Sp001Sp011Sp012Sp017Sp018	0.075
Sp003Sp004Sp009Sp015Sp019	0.635
Sp004Sp009Sp015Sp019	0.425
Sp009Sp015Sp019	0.13
Sp009Sp015	1.0
Sp006Sp016	0.49
Sp007Sp010Sp013Sp014	0.405
Sp005Sp008	0.505
Sp000Sp001	0.565
Sp002Sp003Sp004Sp009Sp015Sp019	0.155
Sp004Sp009Sp015	0.79
Sp005Sp007Sp008Sp010Sp013Sp014Sp016	0.01
Sp001Sp002Sp003Sp004Sp006Sp009Sp015Sp019	0.005
Sp001Sp002Sp003Sp004Sp009Sp015Sp019	0.125
Sp001Sp003Sp004Sp009Sp015Sp019	0.29
Sp001Sp004Sp009Sp015Sp019	0.085
Sp001Sp004Sp009Sp015	0.07
Sp016Sp017Sp018	0.25
Sp006Sp016Sp017Sp018	0.265
Sp006Sp011Sp012Sp016Sp017Sp018	0.295
Sp007Sp008Sp010Sp013Sp014	0.305
Sp000Sp001Sp002Sp003Sp004Sp009Sp015Sp019	0.235
Sp008Sp010	0.1
Sp007Sp008Sp010	0.145
Sp005Sp007Sp008Sp010	0.135
Sp000Sp001Sp002Sp003Sp004Sp009Sp011Sp012Sp015Sp019	0.19
Sp000Sp001Sp003Sp004Sp009Sp015Sp019	0.34
Sp000Sp001Sp002Sp011Sp012Sp017Sp018	0.055
Sp003Sp004Sp009Sp015	0.415
Sp000Sp001Sp004Sp009Sp015Sp019	0.05
Sp000Sp001Sp004Sp009Sp015	0.03
Sp000Sp001Sp002Sp006Sp011Sp012Sp016Sp017Sp018	0.04
Sp003Sp004Sp005Sp007Sp008Sp009Sp010Sp013Sp014Sp015	0.02
Sp000Sp006Sp011Sp012Sp016Sp017Sp018	0.06
Sp000Sp002Sp006Sp011Sp012Sp016Sp017Sp018	0.095
Sp002Sp011Sp012	0.06
Sp000Sp002Sp011Sp012	0.06
Sp002Sp006Sp011Sp012Sp016Sp017Sp018	0.155
Sp000Sp001Sp002Sp003Sp004Sp009Sp015Sp016Sp019	0.035
Sp010Sp013Sp014	0.16
Sp001Sp003Sp004Sp009Sp015	0.06
Sp000Sp001Sp003Sp004Sp009Sp015	0.08
Sp005Sp007Sp008Sp010Sp013Sp014Sp016Sp017Sp018	0.03
Sp000Sp001Sp011Sp012	0.065
Sp000Sp001Sp002Sp011Sp012	0.04
Sp000Sp011Sp012	0.15
Sp001Sp009Sp015	0.025
Sp003Sp004	0.07
