split	value
Sp014	100
Sp018	100
Sp017	100
Sp016	100
Sp019	100
Sp015	100
Sp012	100
Sp010	100
Sp013	100
Sp011	100
Sp009	100
Sp000	100
Sp001	100
Sp002	100
Sp003	100
Sp004	100
Sp006	100
Sp005	100
Sp007	100
Sp008	100
Sp016Sp017	0.96
Sp016Sp017Sp018	1.0
Sp015Sp019	0.93
Sp015Sp016Sp017Sp018Sp019	0.995
Sp010Sp012	1.0
Sp000Sp001	1.0
Sp000Sp001Sp009	0.83
Sp000Sp001Sp009Sp011	1.0
Sp000Sp001Sp002Sp009Sp011	1.0
Sp000Sp001Sp002Sp009Sp011Sp013	0.95
Sp000Sp001Sp002Sp009Sp010Sp011Sp012Sp013	0.485
Sp000Sp001Sp002Sp003Sp009Sp010Sp011Sp012Sp013	0.44
Sp004Sp005Sp006Sp007Sp008Sp014	0.87
Sp005Sp006Sp007Sp008Sp014	0.455
Sp005Sp006Sp007Sp008	0.525
Sp005Sp006	0.77
Sp007Sp008	0.73
Sp009Sp011	0.09
Sp000Sp001Sp002Sp003Sp009Sp011Sp013	0.015
Sp006Sp007	0.015
Sp005Sp008	0.1
Sp004Sp014	0.425
Sp003Sp004Sp005Sp006Sp007Sp008Sp014	0.34
Sp003Sp004Sp005Sp006Sp007Sp008Sp010Sp012Sp014	0.145
Sp007Sp008Sp014	0.145
Sp004Sp007Sp008Sp014	0.315
Sp003Sp010Sp012	0.275
Sp016Sp017Sp018Sp019	0.07
Sp017Sp018	0.04
Sp000Sp001Sp002Sp009Sp010Sp011Sp012	0.05
Sp005Sp006Sp007	0.075
Sp005Sp007Sp008	0.085
Sp004Sp005Sp007Sp008Sp014	0.16
Sp003Sp010Sp012Sp015Sp016Sp017Sp018Sp019	0.09
Sp000Sp001Sp002Sp006Sp009Sp011Sp013	0.1
Sp010Sp012Sp015Sp016Sp017Sp018Sp019	0.095
Sp003Sp004Sp005Sp006Sp007Sp008Sp013Sp014	0.025
Sp003Sp004	0.025
Sp005Sp006Sp007Sp008Sp013Sp014	0.02
Sp006Sp013	0.015
Sp005Sp006Sp013	0.005
Sp000Sp001Sp011	0.08
Sp013Sp014	0.01
Sp004Sp005Sp006Sp007Sp008Sp013Sp014	0.02
Sp004Sp008Sp014	0.065
Sp003Sp004Sp005Sp007Sp008Sp010Sp012Sp014	0.025
Sp004Sp005Sp008Sp014	0.025
Sp000Sp001Sp002Sp005Sp006Sp009Sp011Sp013	0.015
Sp008Sp014	0.015
Sp003Sp004Sp010Sp012Sp015Sp016Sp017Sp018Sp019	0.01
Sp000Sp001Sp002Sp003Sp009Sp010Sp011Sp012	0.01
Sp005Sp006Sp008	0.02
Sp000Sp001Sp002Sp009Sp011Sp013Sp015Sp019	0.005
Sp000Sp001Sp002Sp003Sp009Sp011Sp013Sp015Sp019	0.005
Sp004Sp005Sp006Sp007Sp008Sp014Sp016Sp017Sp018	0.005
Sp003Sp004Sp005Sp007Sp008Sp014	0.01
Sp003Sp004Sp007Sp008Sp014	0.005
Sp005Sp007Sp008Sp014	0.015
