split	value
Sp003	0.505
Sp005	100
Sp008	100
Sp010	100
Sp007	100
Sp006	100
Sp004	100
Sp002	100
Sp009	100
Sp001	100
Sp011	100
Sp000	100
Sp006Sp007	0.825
Sp004Sp006Sp007	1.0
Sp004Sp006Sp007Sp010	0.535
Sp001Sp009	0.115
Sp001Sp002Sp009	0.535
Sp000Sp003Sp005Sp008Sp011	1.0
Sp000Sp011	1.0
Sp003Sp005Sp008	0.97
Sp003Sp005	0.88
Sp004Sp006	0.175
Sp001Sp002	0.395
Sp002Sp009	0.1
Sp002Sp004Sp006Sp007	0.465
Sp001Sp002Sp004Sp006Sp007	0.39
Sp000Sp003Sp005Sp008Sp010Sp011	0.425
Sp003Sp008	0.115
Sp002Sp004Sp006Sp007Sp010	0.025
Sp009Sp010	0.015
Sp000Sp003Sp005Sp011	0.03
Sp005Sp008	0.005
