split	value
Sp011	100
Sp002	100
Sp000	100
Sp001	100
Sp003	100
Sp017	100
Sp016	100
Sp015	100
Sp014	100
Sp010	100
Sp009	100
Sp018	100
Sp005	100
Sp012	100
Sp004	100
Sp013	100
Sp008	100
Sp007	100
Sp006	100
Sp019	100
Sp000Sp002	0.385
Sp000Sp001Sp002	1.0
Sp000Sp001Sp002Sp003	1.0
Sp000Sp001Sp002Sp003Sp011	1.0
Sp014Sp015	1.0
Sp014Sp015Sp016	1.0
Sp014Sp015Sp016Sp017	1.0
Sp009Sp010	1.0
Sp009Sp010Sp014Sp015Sp016Sp017	1.0
Sp005Sp018	1.0
Sp004Sp012	0.51
Sp004Sp005Sp012Sp018	0.94
Sp000Sp001Sp002Sp003Sp006Sp007Sp008Sp011Sp013Sp019	0.545
Sp006Sp007Sp008Sp013Sp019	0.98
Sp006Sp007	1.0
Sp006Sp007Sp008	1.0
Sp006Sp007Sp008Sp013	0.785
Sp000Sp001	0.265
Sp000Sp001Sp002Sp003Sp004Sp005Sp011Sp012Sp018	0.455
Sp004Sp005Sp018	0.49
Sp001Sp002	0.35
Sp000Sp001Sp002Sp003Sp006Sp007Sp008Sp011	0.02
Sp013Sp019	0.06
Sp006Sp007Sp008Sp019	0.155
Sp000Sp001Sp002Sp003Sp011Sp012	0.05
Sp000Sp001Sp002Sp003Sp004Sp011Sp012	0.005
Sp004Sp005Sp009Sp010Sp014Sp015Sp016Sp017Sp018	0.005
