split	value
Sp011	100
Sp010	100
Sp014	100
Sp016	100
Sp013	100
Sp006	100
Sp002	100
Sp012	100
Sp017	100
Sp009	100
Sp018	100
Sp007	100
Sp015	100
Sp005	100
Sp004	100
Sp003	100
Sp000	100
Sp001	100
Sp008	100
Sp019	100
Sp013Sp016	0.755
Sp013Sp014Sp016	0.115
Sp002Sp006	0.995
Sp002Sp006Sp013Sp014Sp016	0.99
Sp009Sp017	1.0
Sp009Sp012Sp017	0.995
Sp007Sp018	0.995
Sp007Sp009Sp012Sp017Sp018	0.995
Sp004Sp005	1.0
Sp004Sp005Sp015	1.0
Sp003Sp004Sp005Sp015	0.985
Sp000Sp003Sp004Sp005Sp015	1.0
Sp001Sp002Sp006Sp008Sp010Sp011Sp013Sp014Sp016Sp019	0.395
Sp001Sp008Sp010Sp011Sp019	1.0
Sp001Sp008Sp011Sp019	0.93
Sp001Sp008Sp019	0.995
Sp008Sp019	0.96
Sp002Sp006Sp013Sp016	0.86
Sp002Sp006Sp013	0.23
Sp000Sp001Sp003Sp004Sp005Sp008Sp010Sp011Sp015Sp019	0.57
Sp007Sp012Sp018	0.005
Sp001Sp008	0.04
Sp001Sp008Sp010Sp019	0.07
Sp001Sp007Sp008Sp009Sp010Sp011Sp012Sp017Sp018Sp019	0.03
Sp002Sp006Sp014	0.01
Sp001Sp011	0.005
Sp000Sp004Sp005Sp015	0.015
Sp009Sp012Sp017Sp018	0.005
Sp002Sp007	0.005
Sp002Sp007Sp009Sp012Sp017Sp018	0.005
Sp006Sp013Sp014Sp016	0.005
Sp006Sp013Sp016	0.005
Sp000Sp003Sp004Sp005Sp014Sp015	0.005
Sp001Sp002Sp006Sp008Sp010Sp011Sp013Sp016Sp019	0.005
Sp014Sp016	0.01
Sp002Sp006Sp016	0.01
Sp002Sp006Sp013Sp014	0.005
