split	value
Sp000	100
Sp008	100
Sp007	100
Sp004	100
Sp010	100
Sp002	100
Sp011	100
Sp009	100
Sp003	100
Sp001	100
Sp005	100
Sp006	100
Sp007Sp008	0.685
Sp002Sp010	0.155
Sp002Sp004Sp010	0.33
Sp002Sp004Sp007Sp008Sp010	0.6
Sp003Sp009	0.625
Sp003Sp009Sp011	0.18
Sp001Sp003Sp009Sp011	0.305
Sp000Sp005Sp006	0.235
Sp005Sp006	0.26
Sp006Sp010	0.055
Sp000Sp002Sp004Sp005Sp006Sp010	0.055
Sp000Sp002Sp004Sp005	0.035
Sp002Sp004Sp005	0.01
Sp004Sp005	0.015
Sp000Sp002	0.09
Sp000Sp002Sp004	0.04
Sp000Sp002Sp004Sp005Sp007	0.01
Sp001Sp003	0.33
Sp001Sp003Sp009	0.37
Sp001Sp003Sp006Sp009Sp011	0.015
Sp000Sp002Sp004Sp005Sp007Sp008	0.015
Sp004Sp010	0.17
Sp000Sp005Sp006Sp011	0.135
Sp005Sp006Sp011	0.03
Sp006Sp011	0.095
Sp003Sp007Sp008Sp009	0.075
Sp001Sp003Sp007Sp008Sp009	0.055
Sp000Sp002Sp004Sp005Sp010Sp011	0.01
Sp000Sp002Sp004Sp005Sp011	0.005
Sp000Sp001	0.145
Sp000Sp001Sp005	0.065
Sp000Sp001Sp005Sp006Sp011	0.1
Sp000Sp001Sp005Sp006	0.11
Sp009Sp011	0.2
Sp001Sp003Sp008	0.015
Sp001Sp003Sp008Sp009Sp011	0.055
Sp002Sp004Sp005Sp006Sp007Sp010	0.015
Sp002Sp005Sp006Sp007Sp010	0.01
Sp002Sp006Sp007Sp010	0.01
Sp002Sp007Sp010	0.015
Sp007Sp010	0.055
Sp000Sp006	0.115
Sp002Sp004Sp007Sp010	0.15
Sp000Sp005	0.145
Sp004Sp007Sp010	0.06
Sp000Sp005Sp011	0.01
Sp005Sp011	0.05
Sp000Sp003	0.01
Sp000Sp003Sp009	0.005
Sp000Sp001Sp003Sp009	0.01
Sp002Sp004Sp006Sp007Sp008Sp010	0.02
Sp002Sp004	0.245
Sp002Sp004Sp007Sp008	0.06
