split	value
Sp016	0.505
Sp004	100
Sp003	100
Sp009	100
Sp010	100
Sp008	100
Sp007	100
Sp018	100
Sp006	100
Sp012	100
Sp011	100
Sp005	100
Sp014	100
Sp015	100
Sp013	100
Sp017	100
Sp019	100
Sp002	100
Sp001	100
Sp000	100
Sp003Sp004	0.965
Sp003Sp004Sp016	0.48
Sp008Sp010	0.41
Sp006Sp018	0.005
Sp006Sp007Sp018	0.07
Sp011Sp012	1.0
Sp005Sp011Sp012	0.84
Sp005Sp006Sp007Sp011Sp012Sp018	0.005
Sp005Sp006Sp007Sp008Sp010Sp011Sp012Sp018	0.005
Sp013Sp015	1.0
Sp013Sp014Sp015	0.995
Sp002Sp019	0.765
Sp000Sp001	0.755
Sp000Sp001Sp002Sp019	0.01
Sp000Sp001Sp002Sp017Sp019	0.005
Sp000Sp001Sp002Sp013Sp014Sp015Sp017Sp019	0.005
Sp003Sp004Sp009Sp016	0.04
Sp003Sp004Sp017	0.205
Sp002Sp018Sp019	0.495
Sp002Sp013Sp014Sp015Sp018Sp019	0.265
Sp002Sp003Sp004Sp013Sp014Sp015Sp017Sp018Sp019	0.075
Sp005Sp008Sp011Sp012	0.06
Sp006Sp007	0.88
Sp000Sp001Sp006Sp007	0.4
Sp000Sp001Sp005Sp006Sp007Sp008Sp011Sp012	0.26
Sp000Sp001Sp005Sp006Sp007Sp008Sp010Sp011Sp012	0.845
Sp002Sp003Sp004Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.02
Sp013Sp014Sp015Sp018	0.185
Sp002Sp009Sp019	0.335
Sp002Sp009Sp013Sp014Sp015Sp018Sp019	0.47
Sp002Sp009Sp013Sp014Sp015Sp017Sp018Sp019	100
Sp000Sp001Sp005Sp006Sp007Sp008Sp010Sp011Sp012Sp016	0.38
Sp000Sp001Sp011Sp012	0.015
Sp000Sp001Sp005Sp011Sp012	0.24
Sp000Sp001Sp005Sp008Sp010Sp011Sp012	0.08
Sp002Sp009Sp013Sp014Sp015Sp019	0.035
Sp002Sp003Sp004Sp009Sp013Sp014Sp015Sp017Sp019	0.015
Sp002Sp003Sp004Sp009Sp013Sp014Sp015Sp016Sp017Sp019	0.05
Sp002Sp009Sp018Sp019	0.44
Sp002Sp009Sp017Sp018Sp019	0.09
Sp001Sp005	0.025
Sp001Sp005Sp011Sp012	0.03
Sp000Sp001Sp005Sp006Sp007Sp011Sp012	0.345
Sp009Sp019	0.11
Sp000Sp001Sp010	0.135
Sp000Sp001Sp008Sp010	0.07
Sp000Sp001Sp006Sp007Sp008Sp010	0.195
Sp001Sp006	0.04
Sp000Sp001Sp006	0.06
Sp000Sp001Sp005Sp006Sp011Sp012	0.035
Sp000Sp001Sp005Sp006Sp008Sp011Sp012	0.045
