split	value
Sp018	100
Sp013	100
Sp012	100
Sp011	100
Sp010	100
Sp009	100
Sp008	100
Sp007	100
Sp015	100
Sp000	100
Sp006	100
Sp005	100
Sp004	100
Sp016	100
Sp002	100
Sp001	100
Sp017	100
Sp014	100
Sp003	100
Sp019	100
Sp012Sp013	0.815
Sp011Sp012Sp013	1.0
Sp009Sp010	0.985
Sp009Sp010Sp011Sp012Sp013	0.49
Sp009Sp010Sp011Sp012Sp013Sp018	0.83
Sp008Sp009Sp010Sp011Sp012Sp013Sp018	0.69
Sp000Sp015	0.905
Sp000Sp007Sp015	0.71
Sp005Sp006	0.48
Sp001Sp002	0.915
Sp001Sp002Sp016	0.995
Sp001Sp002Sp004Sp016	0.05
Sp001Sp002Sp004Sp005Sp006Sp016	0.6
Sp000Sp001Sp002Sp004Sp005Sp006Sp007Sp015Sp016	0.78
Sp003Sp014Sp017Sp019	0.22
Sp014Sp017	1.0
Sp003Sp014Sp017	0.215
Sp014Sp017Sp019	0.66
Sp003Sp008Sp009Sp010Sp011Sp012Sp013Sp018	0.595
Sp000Sp004Sp007Sp015	0.22
Sp001Sp002Sp005Sp006Sp016	0.65
Sp001Sp016	0.085
Sp001Sp002Sp006Sp016	0.29
Sp001Sp002Sp004Sp006Sp016	0.095
Sp011Sp012Sp013Sp018	0.51
Sp008Sp011Sp012Sp013Sp018	0.045
Sp000Sp001Sp002Sp004Sp005Sp006Sp015Sp016	0.105
Sp008Sp009Sp010Sp011Sp012Sp013Sp018Sp019	0.015
Sp004Sp005Sp006	0.105
Sp001Sp002Sp004Sp005Sp006Sp007Sp016	0.04
Sp004Sp007	0.015
Sp000Sp007	0.085
Sp000Sp007Sp019	0.005
Sp001Sp002Sp003Sp004Sp005Sp006Sp014Sp015Sp016Sp017	0.005
Sp001Sp002Sp003Sp004Sp005Sp006Sp015Sp016	0.005
Sp001Sp002Sp004Sp005Sp006Sp015Sp016	0.01
Sp004Sp015	0.015
Sp001Sp002Sp004Sp015Sp016	0.005
Sp008Sp018	0.085
Sp003Sp009Sp010Sp011Sp012Sp013	0.03
Sp011Sp012	0.185
Sp000Sp001Sp002Sp007Sp015Sp016	0.015
Sp003Sp008	0.115
Sp001Sp002Sp005Sp016	0.075
Sp007Sp014Sp017	0.035
Sp003Sp008Sp009Sp010Sp011Sp012Sp013Sp018Sp019	0.035
Sp004Sp006	0.1
Sp003Sp009Sp010	0.04
Sp003Sp008Sp009Sp010	0.005
Sp000Sp001Sp002Sp004Sp005Sp006Sp007Sp015Sp016Sp019	0.11
Sp003Sp008Sp014Sp017Sp019	0.045
Sp009Sp011Sp012Sp013	0.015
Sp003Sp009Sp010Sp011Sp012Sp013Sp018	0.11
Sp000Sp007Sp015Sp019	0.01
Sp001Sp002Sp005Sp006Sp016Sp019	0.01
Sp008Sp014Sp017Sp019	0.025
Sp001Sp002Sp004Sp005Sp006Sp007Sp014Sp016Sp017Sp019	0.015
Sp005Sp007	0.09
Sp001Sp002Sp005Sp007Sp016	0.01
Sp008Sp019	0.02
Sp003Sp008Sp019	0.005
Sp000Sp001Sp002Sp005Sp006Sp015Sp016	0.005
Sp004Sp005	0.025
Sp000Sp005Sp007Sp015	0.035
Sp007Sp008Sp009Sp010Sp011Sp012Sp013Sp018	0.01
Sp000Sp004Sp015	0.065
Sp001Sp002Sp005Sp006Sp007Sp016	0.025
Sp000Sp004Sp008Sp009Sp010Sp011Sp012Sp013Sp015Sp018	0.01
Sp007Sp009Sp010Sp011Sp012Sp013Sp018	0.03
Sp007Sp009Sp010Sp011Sp012Sp013Sp018Sp019	0.005
Sp001Sp002Sp003Sp004Sp005Sp006Sp008Sp014Sp016Sp017	0.005
Sp001Sp002Sp004Sp005Sp006Sp008Sp016	0.005
Sp008Sp009Sp010Sp011Sp012Sp013	0.005
Sp004Sp008Sp009Sp010Sp011Sp012Sp013Sp018	0.01
Sp007Sp014Sp017Sp019	0.035
Sp000Sp007Sp009Sp010Sp011Sp012Sp013Sp015Sp018	0.015
Sp000Sp007Sp014Sp015Sp017Sp019	0.025
Sp001Sp002Sp014Sp016Sp017	0.005
Sp004Sp005Sp006Sp007Sp019	0.005
Sp004Sp005Sp006Sp007	0.015
