split	value
Sp007	100
Sp000	100
Sp001	100
Sp005	100
Sp004	100
Sp003	100
Sp014	100
Sp013	100
Sp012	100
Sp002	100
Sp011	100
Sp010	100
Sp009	100
Sp006	100
Sp008	100
Sp000Sp001	1.0
Sp004Sp005	1.0
Sp012Sp013	1.0
Sp002Sp012Sp013	1.0
Sp002Sp012Sp013Sp014	0.59
Sp002Sp003Sp012Sp013Sp014	0.96
Sp002Sp003Sp004Sp005Sp012Sp013Sp014	0.92
Sp006Sp007Sp008Sp009Sp010Sp011	0.955
Sp006Sp008Sp009Sp010Sp011	0.415
Sp010Sp011	0.85
Sp009Sp010Sp011	0.435
Sp006Sp009Sp010Sp011	0.32
Sp003Sp014	0.41
Sp006Sp007	0.365
Sp008Sp009Sp010Sp011	0.235
Sp006Sp007Sp009Sp010Sp011	0.045
Sp000Sp001Sp002Sp003Sp012Sp013Sp014	0.08
Sp007Sp008	0.105
Sp006Sp009	0.3
Sp009Sp010	0.06
Sp006Sp011	0.075
Sp006Sp007Sp008Sp009	0.115
Sp006Sp007Sp009	0.085
Sp006Sp008Sp009	0.025
Sp006Sp007Sp008	0.065
Sp002Sp004Sp005Sp012Sp013	0.04
Sp008Sp009	0.14
Sp006Sp010Sp011	0.06
Sp008Sp010Sp011	0.075
Sp007Sp008Sp010Sp011	0.005
Sp007Sp008Sp009Sp010Sp011	0.02
Sp000Sp001Sp011	0.015
Sp000Sp001Sp010Sp011	0.015
Sp000Sp001Sp008Sp010Sp011	0.005
Sp000Sp001Sp007Sp008Sp009Sp010Sp011	0.005
Sp000Sp001Sp008Sp009Sp010Sp011	0.02
Sp000Sp001Sp009Sp010Sp011	0.015
Sp008Sp009Sp010	0.035
Sp006Sp007Sp008Sp009Sp010	0.02
Sp006Sp007Sp010Sp011	0.005
Sp000Sp001Sp006Sp008Sp009Sp010Sp011	0.015
Sp006Sp009Sp011	0.02
Sp008Sp010	0.035
Sp007Sp008Sp009	0.01
Sp006Sp008	0.02
Sp007Sp008Sp009Sp010	0.015
