split	value
Sp012	100
Sp013	100
Sp011	100
Sp010	100
Sp008	100
Sp007	100
Sp005	100
Sp009	100
Sp014	100
Sp001	100
Sp004	100
Sp006	100
Sp003	100
Sp002	100
Sp000	100
Sp008Sp010	0.905
Sp008Sp010Sp011	0.4
Sp007Sp008Sp010Sp011	0.71
Sp007Sp008Sp010Sp011Sp013	0.96
Sp007Sp008Sp010Sp011Sp012Sp013	0.94
Sp005Sp007Sp008Sp010Sp011Sp012Sp013	0.81
Sp001Sp014	1.0
Sp001Sp009Sp014	0.44
Sp000Sp002Sp003Sp004Sp006	1.0
Sp002Sp003	1.0
Sp000Sp002Sp003	1.0
Sp000Sp002Sp003Sp006	0.645
Sp000Sp002Sp003Sp004Sp006Sp009	0.53
Sp004Sp006	0.35
Sp007Sp008Sp010	0.38
Sp000Sp002Sp003Sp004Sp005Sp006Sp009	0.185
Sp000Sp002Sp003Sp004Sp005Sp006	0.035
Sp007Sp013	0.065
Sp007Sp011	0.105
Sp005Sp007Sp008Sp010Sp011Sp013	0.06
Sp010Sp011	0.045
Sp007Sp010Sp011	0.02
Sp007Sp008Sp010Sp011Sp012	0.04
Sp007Sp008	0.015
Sp007Sp008Sp013	0.01
Sp007Sp008Sp010Sp013	0.165
Sp008Sp010Sp011Sp013	0.045
Sp008Sp010Sp013	0.08
Sp007Sp008Sp011	0.005
Sp010Sp011Sp013	0.005
Sp008Sp013	0.005
Sp008Sp011	0.01
Sp007Sp010	0.02
Sp007Sp010Sp013	0.005
Sp007Sp010Sp011Sp013	0.005
Sp000Sp002Sp003Sp004	0.005
