split	value
Sp015	100
Sp019	100
Sp017	100
Sp016	100
Sp018	100
Sp014	100
Sp013	100
Sp005	100
Sp012	100
Sp011	100
Sp009	100
Sp010	100
Sp007	100
Sp006	100
Sp004	100
Sp003	100
Sp008	100
Sp002	100
Sp001	100
Sp000	100
Sp016Sp017	0.295
Sp013Sp014	1.0
Sp013Sp014Sp018	0.155
Sp013Sp014Sp016Sp017Sp018	0.93
Sp013Sp014Sp016Sp017Sp018Sp019	1.0
Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.805
Sp009Sp011	0.3
Sp004Sp006	0.58
Sp002Sp008	0.845
Sp002Sp003Sp008	0.365
Sp002Sp003Sp004Sp006Sp008	0.67
Sp002Sp003Sp004Sp006Sp007Sp008	0.725
Sp002Sp003Sp004Sp006Sp007Sp008Sp010	0.16
Sp002Sp003Sp004Sp006Sp007Sp008Sp009Sp010Sp011	0.955
Sp000Sp001	0.29
Sp005Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.14
Sp005Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.61
Sp003Sp004Sp006	0.26
Sp002Sp003Sp004Sp006Sp007Sp008Sp011	0.24
Sp002Sp003Sp004Sp006Sp007Sp008Sp009Sp011	0.64
Sp000Sp001Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.39
Sp000Sp012	0.64
Sp000Sp001Sp012	0.515
Sp013Sp014Sp016	0.7
Sp013Sp014Sp016Sp017	0.485
Sp008Sp009	0.115
Sp008Sp009Sp011	0.075
Sp002Sp006	0.065
Sp002Sp004Sp006	0.05
Sp002Sp003Sp004Sp006	0.145
Sp002Sp003Sp004Sp006Sp007	0.12
Sp002Sp008Sp009	0.085
Sp002Sp003Sp004Sp006Sp008Sp009	0.02
Sp002Sp003Sp004Sp006Sp007Sp008Sp009	0.19
Sp002Sp003Sp004Sp006Sp007Sp008Sp009Sp010	0.065
Sp011Sp012	0.035
Sp000Sp011Sp012	0.035
Sp001Sp005Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.315
Sp005Sp015	0.195
Sp000Sp001Sp005Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.01
Sp002Sp007Sp008	0.07
Sp002Sp004Sp006Sp007Sp008	0.005
Sp002Sp003Sp004Sp006Sp007Sp008Sp010Sp011	0.13
Sp003Sp006	0.18
Sp002Sp003Sp006Sp008	0.165
Sp002Sp003Sp006Sp007Sp008	0.01
Sp002Sp003Sp006Sp007Sp008Sp011	0.005
Sp002Sp003Sp006Sp007Sp008Sp009Sp011	0.005
Sp002Sp003Sp006Sp007Sp008Sp009Sp010Sp011	0.005
Sp002Sp004Sp006Sp008	0.08
Sp002Sp003	0.075
Sp002Sp003Sp006	0.075
Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp009Sp011	0.005
Sp009Sp010Sp011	0.015
Sp013Sp014Sp016Sp018	0.365
Sp003Sp004Sp006Sp007	0.085
Sp002Sp008Sp011	0.035
Sp002Sp008Sp009Sp011	0.08
Sp013Sp014Sp016Sp018Sp019	0.035
Sp018Sp019	0.035
Sp002Sp006Sp008	0.025
Sp002Sp003Sp004Sp006Sp008Sp009Sp011	0.015
Sp010Sp011	0.025
Sp002Sp003Sp004Sp008	0.03
Sp004Sp006Sp007	0.005
Sp002Sp008Sp009Sp010Sp011	0.03
Sp003Sp004	0.01
Sp002Sp004	0.015
Sp002Sp003Sp004	0.005
Sp008Sp011	0.01
Sp002Sp007Sp008Sp011	0.01
Sp002Sp007Sp008Sp009Sp011	0.005
Sp002Sp003Sp004Sp006Sp008Sp011	0.02
Sp002Sp004Sp008	0.01
Sp002Sp003Sp007Sp008	0.015
Sp002Sp007Sp008Sp009	0.01
Sp002Sp003Sp004Sp005Sp006Sp007Sp008	0.005
Sp001Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.01
Sp001Sp005Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.025
Sp000Sp005Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.02
Sp008Sp009Sp010	0.005
Sp008Sp009Sp010Sp011	0.005
Sp002Sp003Sp004Sp006Sp008Sp009Sp010Sp011	0.01
Sp002Sp003Sp004Sp006Sp008Sp010Sp011	0.005
