split	value
Sp018	100
Sp017	100
Sp016	100
Sp015	100
Sp014	100
Sp013	100
Sp012	100
Sp010	100
Sp009	100
Sp008	100
Sp000	100
Sp011	100
Sp007	100
Sp006	100
Sp005	100
Sp004	100
Sp003	100
Sp002	100
Sp001	100
Sp019	100
Sp000Sp008	0.11
Sp000Sp008Sp009	0.01
Sp000Sp008Sp009Sp010	0.01
Sp000Sp008Sp009Sp010Sp012	0.01
Sp000Sp008Sp009Sp010Sp012Sp013	0.01
Sp000Sp008Sp009Sp010Sp012Sp013Sp014	0.01
Sp000Sp008Sp009Sp010Sp012Sp013Sp014Sp015	0.01
Sp000Sp008Sp009Sp010Sp012Sp013Sp014Sp015Sp016	0.01
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp011Sp018Sp019	0.01
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp011Sp019	0.01
Sp001Sp002	0.74
Sp001Sp002Sp003	0.68
Sp001Sp002Sp003Sp004	0.58
Sp001Sp002Sp003Sp004Sp005	0.58
Sp001Sp002Sp003Sp004Sp005Sp006	0.58
Sp001Sp002Sp003Sp004Sp005Sp006Sp007	0.58
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp011	0.01
Sp000Sp008Sp010	0.065
Sp000Sp008Sp010Sp011	0.065
Sp000Sp008Sp010Sp011Sp012	0.065
Sp000Sp008Sp010Sp011Sp012Sp013	0.065
Sp000Sp008Sp010Sp011Sp012Sp013Sp014	0.065
Sp000Sp008Sp010Sp011Sp012Sp013Sp014Sp015	0.065
Sp000Sp008Sp010Sp011Sp012Sp013Sp014Sp015Sp016	0.065
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp009Sp018Sp019	0.065
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp009Sp019	0.065
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp009	0.1
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007	0.785
Sp008Sp009	0.12
Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.8
Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.825
Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.825
Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.825
Sp014Sp015Sp016Sp017Sp018Sp019	0.825
Sp015Sp016Sp017Sp018Sp019	0.825
Sp016Sp017Sp018Sp019	0.825
Sp017Sp018Sp019	0.825
Sp018Sp019	0.825
Sp000Sp001	0.26
Sp000Sp001Sp002	0.32
Sp000Sp001Sp002Sp003	0.42
Sp000Sp001Sp002Sp003Sp004	0.42
Sp000Sp001Sp002Sp003Sp004Sp005	0.42
Sp000Sp001Sp002Sp003Sp004Sp005Sp006	0.42
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008	0.67
Sp000Sp009	0.04
Sp000Sp009Sp010	0.04
Sp000Sp009Sp010Sp011	0.04
Sp000Sp009Sp010Sp011Sp012	0.04
Sp000Sp009Sp010Sp011Sp012Sp013	0.04
Sp000Sp009Sp010Sp011Sp012Sp013Sp014	0.04
Sp000Sp009Sp010Sp011Sp012Sp013Sp014Sp015	0.04
Sp000Sp009Sp010Sp011Sp012Sp013Sp014Sp015Sp016	0.04
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp018Sp019	0.04
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp019	0.04
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008	0.1
Sp000Sp010	0.06
Sp000Sp010Sp011	0.06
Sp000Sp010Sp011Sp012	0.06
Sp000Sp010Sp011Sp012Sp013	0.06
Sp000Sp010Sp011Sp012Sp013Sp014	0.06
Sp000Sp010Sp011Sp012Sp013Sp014Sp015	0.06
Sp000Sp010Sp011Sp012Sp013Sp014Sp015Sp016	0.06
Sp000Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017	0.06
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp009Sp019	0.06
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp009	0.065
Sp000Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.005
Sp008Sp009Sp010	0.02
