split	value
Sp013	100
Sp012	100
Sp011	100
Sp010	100
Sp009	100
Sp014	100
Sp005	100
Sp000	100
Sp001	100
Sp002	100
Sp004	100
Sp003	100
Sp006	100
Sp007	100
Sp008	100
Sp009Sp010	0.715
Sp009Sp010Sp011	0.64
Sp009Sp010Sp011Sp012	0.595
Sp009Sp010Sp011Sp012Sp013	1.0
Sp005Sp014	0.98
Sp005Sp009Sp010Sp011Sp012Sp013Sp014	0.61
Sp000Sp001	1.0
Sp002Sp003Sp004Sp006Sp007Sp008	1.0
Sp003Sp004Sp006Sp007Sp008	0.71
Sp003Sp004	0.99
Sp006Sp007Sp008	1.0
Sp007Sp008	0.99
Sp000Sp001Sp005Sp014	0.39
Sp002Sp006Sp007Sp008	0.17
Sp002Sp003Sp004	0.115
Sp010Sp011Sp012Sp013	0.285
Sp011Sp012Sp013	0.36
Sp012Sp013	0.405
Sp003Sp006Sp007Sp008	0.01
Sp002Sp003Sp006Sp007Sp008	0.005
Sp009Sp010Sp011Sp012Sp013Sp014	0.015
Sp000Sp001Sp005	0.005
Sp006Sp007	0.01
