split	value
Sp008	100
Sp007	100
Sp006	100
Sp004	100
Sp011	100
Sp010	100
Sp003	100
Sp002	100
Sp009	100
Sp005	100
Sp001	100
Sp000	0.505
Sp007Sp008	0.99
Sp010Sp011	0.63
Sp003Sp010Sp011	0.1
Sp003Sp004Sp010Sp011	0.02
Sp003Sp004Sp006Sp010Sp011	0.995
Sp001Sp005	0.005
Sp001Sp005Sp009	0.12
Sp001Sp002Sp005Sp009	1.0
Sp000Sp007Sp008	0.51
Sp006Sp010	0.36
Sp006Sp010Sp011	0.86
Sp003Sp006Sp010Sp011	0.65
Sp005Sp009	0.99
Sp001Sp002	0.88
Sp000Sp001Sp002Sp005Sp009	0.03
Sp000Sp003Sp004Sp006Sp010Sp011	0.455
Sp003Sp004	0.305
Sp004Sp006Sp010Sp011	0.015
Sp001Sp002Sp005Sp007Sp009	0.01
Sp006Sp011	0.01
Sp003Sp011	0.03
Sp004Sp011	0.01
Sp003Sp004Sp011	0.01
Sp001Sp009	0.005
Sp000Sp004Sp007Sp008	0.005
Sp000Sp004	0.005
