split	value
Sp010	100
Sp006	100
Sp000	100
Sp008	100
Sp007	100
Sp009	100
Sp005	100
Sp002	100
Sp001	100
Sp004	100
Sp003	100
Sp011	100
Sp006Sp010	0.7
Sp007Sp008	1.0
Sp005Sp009	1.0
Sp001Sp002	0.97
Sp001Sp002Sp005Sp009	1.0
Sp000Sp003Sp004Sp006Sp010Sp011	0.295
Sp003Sp004Sp006Sp010Sp011	1.0
Sp003Sp004Sp011	0.81
Sp003Sp004	0.885
Sp003Sp004Sp010Sp011	0.255
Sp004Sp011	0.115
Sp003Sp004Sp006Sp011	0.02
Sp010Sp011	0.095
Sp000Sp007Sp008	0.655
Sp006Sp010Sp011	0.12
Sp000Sp001Sp002Sp005Sp009	0.05
Sp001Sp005Sp009	0.025
Sp002Sp005Sp009	0.005
