split	value
Sp009	100
Sp017	100
Sp011	100
Sp019	100
Sp018	100
Sp000	100
Sp016	100
Sp015	100
Sp013	100
Sp014	100
Sp012	100
Sp003	100
Sp004	100
Sp002	100
Sp001	100
Sp006	100
Sp005	100
Sp007	100
Sp008	100
Sp010	100
Sp018Sp019	0.26
Sp000Sp018Sp019	1.0
Sp012Sp014	0.845
Sp012Sp013Sp014	0.77
Sp012Sp013Sp014Sp015	1.0
Sp002Sp004	0.53
Sp001Sp002Sp004	0.785
Sp001Sp002Sp003Sp004	1.0
Sp001Sp002Sp003Sp004Sp012Sp013Sp014Sp015	1.0
Sp001Sp002Sp003Sp004Sp012Sp013Sp014Sp015Sp016	1.0
Sp005Sp006Sp007Sp008Sp009Sp010Sp011Sp017	1.0
Sp005Sp006Sp007Sp008Sp009Sp010Sp017	1.0
Sp005Sp006Sp007Sp008Sp009Sp010	1.0
Sp005Sp006Sp007Sp008Sp010	0.105
Sp005Sp006	0.15
Sp007Sp008Sp010	0.8
Sp008Sp010	0.055
Sp013Sp015	0.23
Sp007Sp008	0.415
Sp005Sp009	0.48
Sp005Sp006Sp009	0.64
Sp005Sp006Sp007Sp008Sp009	0.09
Sp000Sp019	0.465
Sp001Sp002	0.455
Sp000Sp018	0.275
Sp005Sp007Sp008Sp010	0.155
Sp007Sp010	0.445
Sp006Sp009	0.265
Sp002Sp003Sp004	0.19
Sp005Sp007Sp008Sp009	0.01
Sp005Sp007	0.02
Sp008Sp009	0.01
Sp005Sp006Sp008Sp009	0.1
Sp013Sp014	0.14
Sp005Sp007Sp008	0.005
Sp005Sp007Sp008Sp009Sp010	0.085
Sp003Sp004	0.04
Sp006Sp008	0.07
Sp005Sp007Sp010	0.015
Sp006Sp007Sp008Sp010	0.035
Sp012Sp013	0.015
Sp007Sp008Sp009Sp010	0.01
Sp008Sp009Sp010	0.005
Sp009Sp010	0.005
Sp005Sp007Sp009	0.015
Sp007Sp009	0.005
Sp007Sp008Sp009	0.005
Sp005Sp007Sp009Sp010	0.005
