split	value
Sp005	100
Sp009	100
Sp019	100
Sp018	100
Sp017	100
Sp015	100
Sp016	100
Sp013	100
Sp014	100
Sp012	100
Sp011	100
Sp000	100
Sp001	100
Sp003	100
Sp002	100
Sp008	100
Sp007	100
Sp006	100
Sp004	100
Sp010	100
Sp017Sp018	0.95
Sp017Sp018Sp019	0.53
Sp013Sp016	0.895
Sp013Sp015Sp016	0.32
Sp012Sp014	0.875
Sp000Sp001	0.115
Sp002Sp003	0.845
Sp000Sp001Sp002Sp003	1.0
Sp000Sp001Sp002Sp003Sp011	1.0
Sp000Sp001Sp002Sp003Sp011Sp012Sp014	0.455
Sp004Sp005Sp006Sp007Sp008Sp009Sp010Sp017Sp018Sp019	0.335
Sp004Sp005Sp006Sp007Sp008Sp009Sp010	0.3
Sp004Sp005Sp006Sp007Sp008Sp010	0.93
Sp004Sp006Sp007Sp008Sp010	0.05
Sp004Sp006	0.65
Sp004Sp006Sp007	1.0
Sp004Sp006Sp007Sp008	0.89
Sp009Sp015	0.605
Sp009Sp015Sp017Sp018	0.375
Sp009Sp015Sp017Sp018Sp019	0.485
Sp001Sp002	0.155
Sp001Sp002Sp003	0.885
Sp000Sp001Sp002Sp003Sp011Sp012Sp013Sp014Sp016	0.465
Sp005Sp010	0.61
Sp012Sp013Sp014Sp016	0.36
Sp009Sp013Sp015Sp016	0.085
Sp009Sp013Sp015Sp016Sp017Sp018Sp019	0.16
Sp004Sp007	0.34
Sp000Sp001Sp002Sp003Sp011Sp014	0.12
Sp008Sp010	0.07
Sp004Sp005Sp006Sp007	0.075
Sp004Sp005Sp006Sp007Sp008Sp009Sp010Sp017Sp018	0.035
Sp009Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.065
Sp000Sp001Sp002Sp003Sp011Sp012Sp013Sp014Sp016Sp019	0.035
Sp004Sp005Sp006Sp007Sp008	0.265
Sp009Sp013Sp015Sp016Sp017Sp018	0.015
Sp015Sp016	0.05
Sp012Sp013Sp014Sp015Sp016	0.18
Sp013Sp015	0.05
Sp017Sp019	0.03
Sp009Sp018	0.03
Sp009Sp015Sp018	0.05
Sp009Sp012Sp013Sp014Sp015Sp016Sp018	0.01
Sp000Sp001Sp002Sp003Sp011Sp012Sp014Sp016	0.005
Sp009Sp017Sp018	0.01
Sp009Sp017Sp018Sp019	0.03
Sp009Sp010Sp017Sp018Sp019	0.01
Sp005Sp009Sp010Sp017Sp018Sp019	0.015
Sp005Sp008Sp009Sp010Sp017Sp018Sp019	0.005
Sp009Sp010	0.01
Sp013Sp016Sp019	0.01
Sp005Sp009Sp010Sp013Sp015Sp016Sp017Sp018Sp019	0.03
Sp009Sp013Sp015Sp016Sp018	0.015
Sp004Sp005Sp006Sp007Sp008Sp010Sp017Sp019	0.005
Sp004Sp005Sp006Sp007Sp008Sp010Sp017	0.005
Sp015Sp018	0.02
Sp009Sp015Sp018Sp019	0.005
Sp009Sp010Sp013Sp015Sp016Sp017Sp018Sp019	0.005
Sp000Sp001Sp002Sp003Sp004Sp006Sp007Sp011Sp012Sp014	0.005
Sp009Sp013Sp015Sp016Sp018Sp019	0.01
Sp000Sp001Sp002Sp003Sp004Sp006Sp007Sp008Sp011	0.005
Sp005Sp009Sp010	0.01
Sp006Sp007	0.01
Sp005Sp008Sp010	0.015
Sp009Sp012Sp013Sp014Sp015Sp016Sp017Sp018	0.005
Sp012Sp013Sp016	0.01
Sp013Sp015Sp016Sp017Sp018Sp019	0.005
