split	value
Sp014	100
Sp013	100
Sp011	100
Sp010	100
Sp009	100
Sp008	100
Sp007	100
Sp012	100
Sp006	100
Sp005	100
Sp004	100
Sp001	100
Sp002	100
Sp003	100
Sp000	100
Sp011Sp013	0.37
Sp011Sp013Sp014	1.0
Sp008Sp009	0.99
Sp007Sp008Sp009	1.0
Sp007Sp008Sp009Sp010	1.0
Sp005Sp006	1.0
Sp001Sp004	0.995
Sp000Sp003	0.7
Sp000Sp002Sp003	0.995
Sp000Sp001Sp002Sp003Sp004	0.54
Sp000Sp001Sp002Sp003Sp004Sp005Sp006	1.0
Sp007Sp008Sp009Sp010Sp011Sp013Sp014	0.97
Sp007Sp009	0.01
Sp002Sp003	0.045
Sp000Sp002Sp003Sp005Sp006	0.435
Sp000Sp002	0.255
Sp013Sp014	0.435
Sp007Sp008Sp009Sp010Sp012	0.015
Sp011Sp014	0.195
Sp000Sp001Sp003	0.005
Sp000Sp001Sp002Sp003	0.005
Sp000Sp001Sp002Sp003Sp005Sp006	0.005
Sp011Sp012Sp013Sp014	0.015
Sp001Sp004Sp005Sp006	0.02
