split	value
Sp010	100
Sp008	100
Sp014	100
Sp013	100
Sp012	100
Sp005	100
Sp000	100
Sp004	100
Sp003	100
Sp002	100
Sp001	100
Sp011	100
Sp006	100
Sp007	100
Sp009	100
Sp013Sp014	0.985
Sp012Sp013Sp014	1.0
Sp000Sp005	0.26
Sp001Sp002	0.38
Sp001Sp002Sp003	1.0
Sp001Sp002Sp003Sp004	0.79
Sp000Sp001Sp002Sp003Sp004Sp005	0.28
Sp006Sp007Sp008Sp009Sp010Sp011	1.0
Sp006Sp007Sp009Sp010Sp011	0.795
Sp006Sp011	0.73
Sp007Sp009Sp010	0.62
Sp007Sp009	0.135
Sp001Sp002Sp003Sp004Sp005	0.02
Sp000Sp006Sp007Sp008Sp009Sp010Sp011	0.37
Sp005Sp012Sp013Sp014	0.485
Sp001Sp003	0.62
Sp006Sp010Sp011	0.045
Sp000Sp001Sp002Sp003Sp004	0.29
Sp009Sp010	0.695
Sp006Sp007Sp009Sp010	0.075
Sp007Sp009Sp010Sp011	0.05
Sp009Sp010Sp011	0.035
Sp010Sp011	0.105
Sp007Sp008Sp009Sp010	0.085
Sp001Sp002Sp003Sp004Sp012Sp013Sp014	0.15
Sp006Sp008Sp009Sp010Sp011	0.105
Sp006Sp009Sp010Sp011	0.29
Sp006Sp009Sp011	0.015
Sp006Sp009	0.13
Sp001Sp002Sp003Sp005	0.08
Sp000Sp001Sp002Sp003Sp005	0.08
Sp004Sp012Sp013Sp014	0.035
Sp012Sp014	0.015
Sp001Sp002Sp003Sp005Sp012Sp013Sp014	0.055
Sp000Sp001Sp002Sp003	0.035
Sp000Sp005Sp012Sp013Sp014	0.005
Sp000Sp004	0.05
Sp004Sp006Sp007Sp008Sp009Sp010Sp011	0.015
Sp008Sp011	0.01
Sp006Sp009Sp010	0.025
Sp007Sp010	0.025
Sp006Sp007Sp009	0.01
Sp006Sp008Sp011	0.015
Sp007Sp008	0.005
