split	value
Sp014	0.505
Sp003	100
Sp009	100
Sp002	100
Sp011	100
Sp006	100
Sp007	100
Sp012	100
Sp005	100
Sp013	100
Sp010	100
Sp008	100
Sp004	100
Sp001	100
Sp000	100
Sp002Sp009	0.885
Sp005Sp012	0.835
Sp005Sp007Sp012	0.83
Sp005Sp006Sp007Sp012	0.88
Sp005Sp006Sp007Sp011Sp012	0.395
Sp010Sp013	1.0
Sp008Sp010Sp013	0.35
Sp001Sp004	0.465
Sp001Sp004Sp008Sp010Sp013	0.3
Sp000Sp002Sp003Sp009Sp014	0.46
Sp000Sp003Sp014	0.085
Sp000Sp014	0.425
Sp004Sp008Sp010Sp013	0.295
Sp000Sp001Sp002Sp003Sp009Sp014	0.125
Sp000Sp001Sp002Sp009Sp014	0.07
Sp001Sp002Sp009Sp014	0.035
Sp001Sp014	0.035
Sp003Sp005Sp006Sp007Sp012	0.1
Sp000Sp001Sp002Sp009Sp011Sp014	0.03
Sp010Sp011Sp013	0.11
Sp007Sp012	0.16
Sp005Sp006Sp007Sp010Sp011Sp012Sp013	0.065
Sp001Sp008	0.015
Sp001Sp004Sp008	0.095
Sp002Sp003Sp009Sp014	0.11
Sp002Sp009Sp014	0.32
Sp005Sp006Sp007Sp008Sp010Sp012Sp013	0.095
Sp001Sp011	0.03
Sp000Sp002Sp003Sp004Sp009Sp014	0.01
Sp000Sp002Sp009Sp014	0.425
Sp004Sp010Sp013	0.15
Sp000Sp003	0.07
Sp008Sp010Sp011Sp013	0.05
Sp000Sp001Sp002Sp003Sp004Sp009Sp014	0.205
Sp006Sp007	0.14
Sp003Sp005Sp006Sp007Sp011Sp012	0.195
Sp001Sp004Sp010Sp013	0.065
Sp000Sp001Sp003Sp004Sp014	0.025
Sp000Sp001Sp004Sp014	0.05
Sp002Sp003Sp009	0.06
Sp005Sp006Sp012	0.02
Sp005Sp006Sp007Sp008Sp012	0.1
Sp000Sp002Sp003Sp009Sp011Sp014	0.06
Sp000Sp005Sp006Sp007Sp011Sp012	0.025
Sp003Sp014	0.05
Sp000Sp001Sp002Sp003Sp009Sp011Sp014	0.085
Sp000Sp005Sp006Sp007Sp012	0.01
Sp001Sp002Sp003Sp009Sp014	0.015
Sp000Sp002Sp009	0.015
Sp000Sp002Sp003Sp009	0.04
Sp005Sp007Sp011Sp012	0.05
Sp005Sp007Sp010Sp011Sp012Sp013	0.01
Sp000Sp002Sp003Sp008Sp009Sp014	0.03
Sp001Sp004Sp005Sp006Sp007Sp008Sp012	0.015
Sp000Sp002Sp003Sp009Sp010Sp013Sp014	0.015
Sp004Sp005Sp006Sp007Sp010Sp012Sp013	0.02
Sp001Sp004Sp010Sp011Sp013	0.005
Sp000Sp001Sp002Sp004Sp009Sp014	0.055
Sp001Sp004Sp014	0.025
Sp004Sp008	0.13
Sp001Sp005Sp006Sp007Sp011Sp012	0.005
Sp004Sp005Sp007Sp010Sp011Sp012Sp013	0.01
