split	value
Sp005	100
Sp006	100
Sp000	100
Sp004	100
Sp003	100
Sp002	100
Sp001	100
Sp009	100
Sp008	100
Sp007	100
Sp010	100
Sp011	100
Sp000Sp006	0.465
Sp000Sp005Sp006	0.97
Sp003Sp004	1.0
Sp001Sp002	1.0
Sp001Sp002Sp003Sp004	0.775
Sp007Sp008Sp009Sp010Sp011	1.0
Sp007Sp008	0.285
Sp007Sp008Sp009	0.08
Sp010Sp011	1.0
Sp008Sp009Sp010Sp011	0.715
Sp009Sp010Sp011	0.92
Sp001Sp002Sp003Sp004Sp005	0.015
Sp000Sp005	0.44
Sp005Sp006	0.095
Sp000Sp003Sp004Sp005Sp006	0.215
Sp000Sp003Sp004Sp005	0.01
Sp006Sp007Sp008Sp009Sp010Sp011	0.01
Sp003Sp004Sp005	0.005
