split	value
Sp010	100
Sp009	100
Sp012	100
Sp002	100
Sp001	100
Sp014	100
Sp013	100
Sp008	100
Sp011	100
Sp007	100
Sp006	100
Sp005	100
Sp004	100
Sp003	100
Sp000	100
Sp009Sp010	1.0
Sp001Sp002	1.0
Sp001Sp002Sp012	0.055
Sp013Sp014	1.0
Sp006Sp007	1.0
Sp004Sp005	0.62
Sp004Sp005Sp006Sp007	0.805
Sp003Sp004Sp005Sp006Sp007	1.0
Sp003Sp004Sp005Sp006Sp007Sp011	0.055
Sp003Sp004Sp005Sp006Sp007Sp008Sp011	0.025
Sp001Sp002Sp009Sp010Sp012Sp013Sp014	0.04
Sp001Sp002Sp009Sp010Sp012	0.045
Sp011Sp012	0.945
Sp001Sp002Sp011Sp012	0.445
Sp001Sp002Sp011Sp012Sp013Sp014	0.155
Sp005Sp006Sp007	0.38
Sp000Sp003Sp004Sp005Sp006Sp007	0.32
Sp000Sp003Sp004Sp005Sp006Sp007Sp008	0.745
Sp003Sp004Sp005	0.195
Sp003Sp004Sp005Sp006Sp007Sp008	0.55
Sp001Sp002Sp009Sp010Sp011Sp012	0.2
Sp003Sp004Sp005Sp006Sp007Sp013Sp014	0.01
Sp000Sp001Sp002Sp008Sp009Sp010	0.01
Sp000Sp008Sp009Sp010	0.005
Sp000Sp008	0.025
Sp000Sp001Sp002Sp009Sp010Sp011Sp012	0.015
Sp000Sp001Sp002Sp009Sp010	0.025
Sp001Sp002Sp009Sp010	0.225
Sp001Sp002Sp009Sp010Sp013Sp014	0.305
Sp003Sp004Sp005Sp006Sp007Sp011Sp012	0.065
Sp000Sp001Sp002Sp009Sp010Sp013Sp014	0.05
Sp009Sp010Sp013Sp014	0.29
Sp001Sp002Sp008Sp009Sp010Sp013Sp014	0.09
Sp008Sp009Sp010Sp013Sp014	0.015
Sp008Sp009Sp010	0.02
Sp000Sp009Sp010Sp011Sp012Sp013Sp014	0.005
Sp000Sp009Sp010Sp011Sp012	0.005
Sp000Sp009Sp010	0.04
Sp011Sp012Sp013Sp014	0.08
Sp000Sp001Sp002Sp009Sp010Sp012	0.01
Sp001Sp002Sp013Sp014	0.05
Sp001Sp002Sp008Sp009Sp010	0.02
Sp000Sp009Sp010Sp013Sp014	0.015
Sp001Sp002Sp008Sp009Sp010Sp011Sp012	0.005
Sp000Sp003Sp004Sp005Sp006Sp007Sp011	0.02
Sp009Sp010Sp011Sp012Sp013Sp014	0.005
Sp000Sp001Sp002Sp008Sp009Sp010Sp012	0.01
Sp000Sp008Sp009Sp010Sp013Sp014	0.005
