split	value
Sp019	100
Sp018	100
Sp007	100
Sp008	100
Sp006	100
Sp002	100
Sp009	100
Sp005	100
Sp004	100
Sp015	100
Sp017	100
Sp016	100
Sp014	100
Sp012	100
Sp013	100
Sp011	100
Sp001	100
Sp010	100
Sp003	100
Sp000	100
Sp018Sp019	0.995
Sp006Sp008	1.0
Sp006Sp007Sp008	1.0
Sp005Sp009	1.0
Sp004Sp005Sp009	0.965
Sp014Sp016	0.89
Sp014Sp016Sp017	1.0
Sp014Sp015Sp016Sp017	0.935
Sp011Sp013	0.965
Sp011Sp012Sp013	1.0
Sp011Sp012Sp013Sp014Sp015Sp016Sp017	1.0
Sp001Sp011Sp012Sp013Sp014Sp015Sp016Sp017	0.345
Sp003Sp010	0.975
Sp000Sp003Sp010	0.835
Sp002Sp004Sp005Sp006Sp007Sp008Sp009Sp018Sp019	0.955
Sp002Sp006Sp007Sp008Sp018Sp019	0.99
Sp006Sp007Sp008Sp018Sp019	0.53
Sp002Sp018Sp019	0.235
Sp016Sp017	0.11
Sp012Sp013	0.035
Sp000Sp001Sp003Sp010	0.25
Sp001Sp002Sp004Sp005Sp006Sp007Sp008Sp009Sp018Sp019	0.295
Sp001Sp003Sp010	0.095
Sp002Sp006Sp007Sp008	0.235
Sp000Sp002Sp004Sp005Sp006Sp007Sp008Sp009Sp018Sp019	0.11
Sp000Sp003	0.015
Sp002Sp006Sp007Sp008Sp019	0.005
Sp011Sp012Sp013Sp014Sp016Sp017	0.065
Sp000Sp003Sp004Sp005Sp009Sp010	0.015
Sp003Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017	0.035
Sp000Sp003Sp005Sp009Sp010	0.03
Sp003Sp005Sp009Sp010	0.02
Sp002Sp004Sp006Sp007Sp008Sp018Sp019	0.025
Sp000Sp005Sp009	0.005
Sp001Sp002Sp004Sp006Sp007Sp008Sp018Sp019	0.01
Sp003Sp005Sp009	0.01
Sp002Sp004	0.01
Sp000Sp001Sp002Sp004Sp006Sp007Sp008Sp018Sp019	0.005
Sp000Sp001Sp003Sp004Sp005Sp009Sp010	0.005
