split	value
Sp015	100
Sp017	100
Sp016	100
Sp013	100
Sp018	100
Sp010	100
Sp007	100
Sp005	100
Sp008	100
Sp000	100
Sp001	100
Sp012	100
Sp011	100
Sp002	100
Sp009	100
Sp006	100
Sp004	100
Sp003	100
Sp014	100
Sp019	100
Sp007Sp010	0.915
Sp000Sp001	1.0
Sp000Sp001Sp008	1.0
Sp000Sp001Sp005Sp008	0.905
Sp000Sp001Sp005Sp007Sp008Sp010	0.165
Sp000Sp001Sp005Sp007Sp008Sp010Sp018	0.005
Sp011Sp012	0.645
Sp002Sp011Sp012	0.39
Sp003Sp004Sp006Sp009Sp013Sp014Sp015Sp016Sp017Sp019	0.015
Sp003Sp004Sp006Sp009Sp014Sp015Sp016Sp017Sp019	0.005
Sp004Sp006	0.645
Sp003Sp004Sp006	0.995
Sp003Sp004Sp006Sp009	0.235
Sp014Sp015Sp016Sp017Sp019	0.005
Sp014Sp015Sp017Sp019	0.005
Sp014Sp015Sp019	0.005
Sp014Sp019	0.005
Sp009Sp013	0.21
Sp009Sp011Sp013	0.04
Sp007Sp010Sp014	0.41
Sp007Sp009Sp010Sp011Sp013Sp014	0.015
Sp000Sp001Sp002Sp005Sp008	0.19
Sp000Sp001Sp002Sp005Sp008Sp012	0.015
Sp003Sp004Sp006Sp015Sp016Sp017Sp018Sp019	0.085
Sp015Sp017	0.595
Sp003Sp004Sp006Sp016	0.325
Sp003Sp004Sp006Sp016Sp019	0.14
Sp003Sp004Sp006Sp015Sp016Sp017Sp019	0.135
Sp000Sp001Sp005Sp008Sp018	0.035
Sp007Sp009Sp010Sp013Sp014	0.1
Sp002Sp007Sp009Sp010Sp011Sp012Sp013Sp014	0.03
Sp003Sp004	0.11
Sp002Sp012	0.175
Sp000Sp001Sp002Sp005Sp008Sp011Sp012	0.325
Sp003Sp004Sp006Sp009Sp013Sp015Sp016Sp017Sp018Sp019	0.015
Sp016Sp019	0.04
Sp015Sp016Sp019	0.06
Sp003Sp004Sp006Sp015Sp016Sp019	0.21
Sp003Sp004Sp006Sp009Sp013Sp015Sp016Sp019	0.005
Sp003Sp004Sp006Sp009Sp013Sp015Sp016Sp018Sp019	0.005
Sp003Sp004Sp006Sp009Sp013	0.06
Sp003Sp004Sp006Sp007Sp009Sp010Sp013Sp014	0.05
Sp015Sp016Sp017Sp018Sp019	0.055
Sp015Sp016Sp017Sp019	0.03
Sp000Sp001Sp005Sp008Sp015Sp017	0.02
Sp002Sp018	0.155
Sp002Sp018Sp019	0.16
Sp000Sp001Sp002Sp005Sp008Sp015Sp017Sp018Sp019	0.045
Sp003Sp004Sp006Sp007Sp009Sp010Sp011Sp012Sp013Sp014	0.005
Sp003Sp006	0.24
Sp007Sp010Sp011Sp012Sp013Sp014	0.005
Sp007Sp010Sp013Sp014	0.035
Sp000Sp001Sp002Sp005Sp008Sp011Sp012Sp018	0.025
Sp003Sp004Sp006Sp019	0.195
Sp007Sp010Sp017	0.01
Sp003Sp004Sp006Sp009Sp013Sp014Sp015Sp016Sp018Sp019	0.01
Sp013Sp014	0.445
Sp003Sp004Sp006Sp009Sp013Sp014	0.105
Sp015Sp016	0.125
Sp015Sp016Sp018Sp019	0.025
Sp013Sp014Sp016	0.055
Sp013Sp014Sp015Sp016Sp017	0.08
Sp009Sp011Sp012	0.2
Sp007Sp009Sp010Sp011Sp012	0.07
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp008Sp018Sp019	0.07
Sp002Sp003Sp004Sp006Sp018Sp019	0.09
Sp018Sp019	0.25
Sp013Sp016	0.065
Sp010Sp014	0.03
Sp010Sp013Sp014Sp016	0.005
Sp003Sp004Sp006Sp009Sp010Sp013Sp014Sp016	0.01
Sp007Sp015Sp017Sp018Sp019	0.015
Sp015Sp017Sp018Sp019	0.1
Sp015Sp016Sp017	0.135
Sp007Sp009Sp010	0.03
Sp007Sp009Sp010Sp013Sp014Sp015Sp016Sp017	0.02
Sp003Sp004Sp006Sp018Sp019	0.08
Sp009Sp013Sp014	0.135
Sp000Sp001Sp007Sp008Sp010Sp014	0.005
Sp000Sp001Sp007Sp008Sp010Sp014Sp017	0.005
Sp000Sp001Sp007Sp008Sp010Sp014Sp015Sp017	0.005
Sp003Sp004Sp006Sp009Sp013Sp016	0.01
Sp002Sp005	0.03
Sp002Sp005Sp011Sp012	0.015
Sp000Sp001Sp007Sp008Sp010Sp014Sp015Sp017Sp018Sp019	0.005
Sp003Sp004Sp006Sp009Sp013Sp014Sp015Sp016Sp017	0.02
Sp002Sp011Sp012Sp018Sp019	0.005
Sp003Sp004Sp006Sp007Sp009Sp010Sp013Sp014Sp016	0.025
Sp015Sp017Sp019	0.045
Sp013Sp014Sp017	0.035
Sp007Sp009Sp010Sp011Sp012Sp013Sp014Sp017	0.025
Sp003Sp004Sp006Sp015Sp016Sp018Sp019	0.015
Sp000Sp001Sp008Sp017	0.005
Sp002Sp005Sp007Sp009Sp010Sp011Sp012Sp013Sp014Sp018	0.005
Sp002Sp007Sp009Sp010Sp011Sp012Sp013Sp014Sp018	0.02
Sp007Sp009Sp010Sp011Sp012Sp013Sp014	0.095
Sp002Sp011	0.005
Sp000Sp001Sp002Sp005Sp008Sp011Sp012Sp016	0.005
Sp000Sp001Sp002Sp005Sp008Sp011Sp012Sp016Sp017	0.005
Sp007Sp010Sp013Sp014Sp015Sp018Sp019	0.005
Sp013Sp015Sp018Sp019	0.005
Sp013Sp015Sp018	0.005
Sp013Sp015	0.005
Sp003Sp004Sp006Sp009Sp013Sp014Sp016	0.055
Sp003Sp004Sp006Sp009Sp011Sp012Sp013Sp014Sp016	0.035
Sp002Sp015Sp017Sp018Sp019	0.045
Sp015Sp018Sp019	0.035
Sp015Sp019	0.14
Sp009Sp011	0.105
Sp009Sp011Sp013Sp014	0.085
Sp009Sp011Sp012Sp013Sp014	0.09
Sp009Sp011Sp012Sp013Sp014Sp016	0.075
Sp007Sp009Sp010Sp011Sp012Sp013Sp014Sp016	0.06
Sp000Sp001Sp005Sp008Sp019	0.02
Sp000Sp001Sp002Sp005Sp008Sp019	0.005
